"Marca temporal","¿Consume pan?","Número de integrantes de la familia","¿Qué tan importante es la ingesta de pan diariamente? 1 al 5, siendo 5 la más importante","Con que frecuencia consume pan","Cuando compra pan, ¿Qué prefiere usted?","Al momento de comprar pan, ¿Donde lo realiza?","¿Qué variable considera al momento de comprar pan envasado?","¿Porque razón compra pan envasado principalmente?","Respecto al tamaño del envase,¿Cuál prefiere?","¿Qué marca de pan envasado prefiere?","¿Con qué frecuencia consume pan envasado?"
"2018/11/19 12:47:45 p. m. GMT-3","Si","2 integrantes","4","todos los días","granel","Panderias","Todas las anteriores","Ocasiones especiales","250 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/19 12:48:56 p. m. GMT-3","Si","2 integrantes","5","todos los días","granel","Panderias","Todas las anteriores","Ocasiones especiales","250 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/19 12:51:42 p. m. GMT-3","Si","Más de 3 integrantes","5","3 o más veces por semana","pan preparado","Panderias","Precio","Ocasiones especiales","300 gramos","Ideal","ocasionalmente"
"2018/11/19 12:51:55 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/19 12:55:43 p. m. GMT-3","Si","Más de 3 integrantes","2","3 o más veces por semana","envasado","Supermercados","Todas las anteriores","Sabor","580 gramos","Ideal","3 veces por semana"
"2018/11/19 12:56:55 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/19 1:08:20 p. m. GMT-3","Si","3 integrantes","5","todos los días","indiferente","Supermercados","Todas las anteriores","Rápido de preparar","250 gramos","Castaño","3 veces por semana"
"2018/11/19 1:13:04 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Panderias","Cantidad","Rápido de preparar","580 gramos","Castaño","ocasionalmente"
"2018/11/19 1:13:55 p. m. GMT-3","Si","3 integrantes","4","3 o más veces por semana","envasado","Supermercados","Valor nutricional","Durabilidad","580 gramos","Ideal","todos los días"
"2018/11/19 1:16:29 p. m. GMT-3","Si","2 integrantes","5","todos los días","pan preparado","Panderias","Marca","Ocasiones especiales","580 gramos","Fuch","ocasionalmente"
"2018/11/19 1:18:04 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","pan preparado","Almacenes de barrio","Marca","Rápido de preparar","300 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/19 1:19:10 p. m. GMT-3","Si","3 integrantes","3","todos los días","pan preparado","Almacenes de barrio","Cantidad","Durabilidad","250 gramos","Ideal","ocasionalmente"
"2018/11/19 1:24:13 p. m. GMT-3","Si","Más de 3 integrantes","1","todos los días","pan preparado","Supermercados","Todas las anteriores","Durabilidad","300 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/19 1:26:35 p. m. GMT-3","Si","3 integrantes","3","todos los días","pan preparado","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/19 1:28:26 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","pan preparado","Supermercados","Cantidad","Rápido de preparar","700 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/19 1:36:53 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","pan preparado","Almacenes de barrio","Cantidad","Rápido de preparar","700 gramos","Fuch","ocasionalmente"
"2018/11/19 1:37:04 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","pan preparado","Almacenes de barrio","Precio","Rápido de preparar","700 gramos","Ideal","3 veces por semana"
"2018/11/19 1:41:18 p. m. GMT-3","Si","3 integrantes","3","todos los días","pan preparado","Panderias","Precio","Ocasiones especiales","580 gramos","Cena","ocasionalmente"
"2018/11/19 1:47:39 p. m. GMT-3","Si","2 integrantes","2","todos los días","granel","Panderias","Precio","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/19 1:50:08 p. m. GMT-3","Si","2 integrantes","4","3 o más veces por semana","granel","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","300 gramos","Cena","ocasionalmente"
"2018/11/19 1:51:22 p. m. GMT-3","Si","vivo solo","5","todos los días","envasado","Supermercados","Marca","Durabilidad","250 gramos","Castaño","todos los días"
"2018/11/19 1:54:20 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Precio","Ocasiones especiales","700 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/19 1:56:05 p. m. GMT-3","Si","Más de 3 integrantes","2","ocasionalmente","pan preparado","Panderias","Todas las anteriores","Ocasiones especiales","250 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/19 1:59:16 p. m. GMT-3","Si","Más de 3 integrantes","3","3 o más veces por semana","pan preparado","Panderias","Todas las anteriores","Rápido de preparar","300 gramos","Ideal","ocasionalmente"
"2018/11/19 2:02:31 p. m. GMT-3","Si","vivo solo","3","3 o más veces por semana","pan preparado","Almacenes de barrio","Valor nutricional","Rápido de preparar","580 gramos","Fuch","ocasionalmente"
"2018/11/19 2:05:33 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/19 2:07:38 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","pan preparado","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/19 2:07:40 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","pan preparado","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/19 2:16:17 p. m. GMT-3","Si","Más de 3 integrantes","3","3 o más veces por semana","indiferente","Almacenes de barrio","Todas las anteriores","Sabor","700 gramos","Fuch","3 veces por semana"
"2018/11/19 2:17:35 p. m. GMT-3","Si","3 integrantes","3","todos los días","pan preparado","Supermercados","Todas las anteriores","Ocasiones especiales","700 gramos","Cena","ocasionalmente"
"2018/11/19 2:22:11 p. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","Más de 3 integrantes","3","ocasionalmente","granel","Panderias","Precio","Ocasiones especiales","250 gramos","Castaño","ocasionalmente"
"2018/11/19 2:28:40 p. m. GMT-3","Si","2 integrantes","2","ocasionalmente","pan preparado","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/19 2:31:57 p. m. GMT-3","Si","3 integrantes","1","ocasionalmente","granel","Panderias","Todas las anteriores","Ocasiones especiales","250 gramos","Ideal","ocasionalmente"
"2018/11/19 2:36:56 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","pan preparado","Panderias","Todas las anteriores","Rápido de preparar","700 gramos","Castaño","ocasionalmente"
"2018/11/19 2:59:17 p. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","Más de 3 integrantes","3","todos los días","pan preparado","Almacenes de barrio","Precio","Rápido de preparar","580 gramos","Cena","ocasionalmente"
"2018/11/19 3:00:38 p. m. GMT-3","Si","Más de 3 integrantes","2","todos los días","pan preparado","Almacenes de barrio","Precio","Rápido de preparar","580 gramos","Cena","ocasionalmente"
"2018/11/19 3:00:38 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Panderias","Cantidad","Ocasiones especiales","250 gramos","Ideal","ocasionalmente"
"2018/11/19 3:01:42 p. m. GMT-3","Si","3 integrantes","5","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/19 3:08:24 p. m. GMT-3","Si","3 integrantes","2","todos los días","indiferente","Panderias","Todas las anteriores","Ocasiones especiales","300 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/19 3:20:01 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/19 3:24:45 p. m. GMT-3","Si","2 integrantes","3","todos los días","pan preparado","Supermercados","Todas las anteriores","Sabor","250 gramos","Castaño","3 veces por semana"
"2018/11/19 3:26:24 p. m. GMT-3","Si","2 integrantes","4","todos los días","indiferente","Supermercados","Valor nutricional","Sabor","300 gramos","Castaño","todos los días"
"2018/11/19 3:32:54 p. m. GMT-3","Si","2 integrantes","4","todos los días","granel","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","580 gramos","Castaño","ocasionalmente"
"2018/11/19 3:50:34 p. m. GMT-3","Si","2 integrantes","3","todos los días","granel","Panderias","Todas las anteriores","Ocasiones especiales","580 gramos","Castaño","ocasionalmente"
"2018/11/19 3:53:59 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","250 gramos","Ideal","ocasionalmente"
"2018/11/19 3:56:47 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","250 gramos","Ideal","ocasionalmente"
"2018/11/19 4:37:44 p. m. GMT-3","Si","3 integrantes","5","todos los días","pan preparado","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","250 gramos","Castaño","ocasionalmente"
"2018/11/19 4:57:34 p. m. GMT-3","Si","3 integrantes","4","ocasionalmente","envasado","Supermercados","Todas las anteriores","Rápido de preparar","580 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/19 4:58:33 p. m. GMT-3","Si","vivo solo","4","todos los días","granel","Panderias","Valor nutricional","Ocasiones especiales","250 gramos","Ideal","ocasionalmente"
"2018/11/19 5:04:32 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","pan preparado","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","250 gramos","Fuch","ocasionalmente"
"2018/11/19 5:07:36 p. m. GMT-3","Si","Más de 3 integrantes","2","todos los días","envasado","Panderias","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/19 5:14:51 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/19 6:13:27 p. m. GMT-3","Si","3 integrantes","5","todos los días","pan preparado","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/19 6:16:27 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","580 gramos","Castaño","ocasionalmente"
"2018/11/19 7:18:59 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Todas las anteriores","Durabilidad","700 gramos","Castaño","ocasionalmente"
"2018/11/19 7:46:50 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Supermercados","Valor nutricional","Sabor","700 gramos","Marcas tradicionales de supermercados","todos los días"
"2018/11/19 7:58:38 p. m. GMT-3","Si","Más de 3 integrantes","2","3 o más veces por semana","envasado","Panderias","Valor nutricional","Sabor","580 gramos","Fuch","3 veces por semana"
"2018/11/19 8:10:21 p. m. GMT-3","Si","Más de 3 integrantes","2","todos los días","granel","Panderias","Valor nutricional","Durabilidad","700 gramos","Fuch","todos los días"
"2018/11/19 8:36:46 p. m. GMT-3","Si","2 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Durabilidad","700 gramos","Ideal","ocasionalmente"
"2018/11/19 10:32:47 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","300 gramos","Ideal","ocasionalmente"
"2018/11/19 10:35:05 p. m. GMT-3","Si","Más de 3 integrantes","3","3 o más veces por semana","granel","Almacenes de barrio","Precio","Durabilidad","300 gramos","Ideal","ocasionalmente"
"2018/11/19 10:41:49 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Cantidad","Ocasiones especiales","580 gramos","Cena","ocasionalmente"
"2018/11/19 10:42:45 p. m. GMT-3","Si","3 integrantes","3","todos los días","indiferente","Almacenes de barrio","Precio","Rápido de preparar","580 gramos","Ideal","3 veces por semana"
"2018/11/19 10:47:26 p. m. GMT-3","Si","3 integrantes","4","3 o más veces por semana","envasado","Supermercados","Todas las anteriores","Ocasiones especiales","700 gramos","Marcas tradicionales de supermercados","3 veces por semana"
"2018/11/19 10:58:24 p. m. GMT-3","Si","2 integrantes","3","todos los días","granel","Almacenes de barrio","Todas las anteriores","Durabilidad","700 gramos","Ideal","ocasionalmente"
"2018/11/19 11:02:09 p. m. GMT-3","Si","3 integrantes","3","todos los días","granel","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","300 gramos","Fuch","ocasionalmente"
"2018/11/19 11:05:16 p. m. GMT-3","Si","Más de 3 integrantes","1","ocasionalmente","pan preparado","Supermercados","Precio","Sabor","250 gramos","Castaño","ocasionalmente"
"2018/11/19 11:15:59 p. m. GMT-3","Si","3 integrantes","2","ocasionalmente","indiferente","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/19 11:19:17 p. m. GMT-3","Si","3 integrantes","3","todos los días","pan preparado","Supermercados","Todas las anteriores","Durabilidad","250 gramos","Castaño","ocasionalmente"
"2018/11/19 11:32:24 p. m. GMT-3","Si","2 integrantes","3","3 o más veces por semana","envasado","Supermercados","Valor nutricional","Durabilidad","580 gramos","Fuch","3 veces por semana"
"2018/11/20 12:21:45 a. m. GMT-3","Si","3 integrantes","2","3 o más veces por semana","granel","Supermercados","Valor nutricional","Sabor","700 gramos","Fuch","3 veces por semana"
"2018/11/20 12:32:25 a. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/20 12:49:20 a. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","pan preparado","Supermercados","Todas las anteriores","Durabilidad","580 gramos","Ideal","todos los días"
"2018/11/20 12:49:49 a. m. GMT-3","Si","2 integrantes","2","todos los días","pan preparado","Supermercados","Todas las anteriores","Durabilidad","300 gramos","Marcas tradicionales de supermercados","todos los días"
"2018/11/20 12:51:09 a. m. GMT-3","Si","3 integrantes","3","todos los días","indiferente","otro","Todas las anteriores","Ocasiones especiales","700 gramos","Fuch","3 veces por semana"
"2018/11/20 12:52:32 a. m. GMT-3","Si","3 integrantes","3","todos los días","indiferente","Supermercados","Valor nutricional","Rápido de preparar","700 gramos","Fuch","3 veces por semana"
"2018/11/20 12:52:33 a. m. GMT-3","Si","3 integrantes","3","3 o más veces por semana","envasado","Supermercados","Todas las anteriores","Ocasiones especiales","700 gramos","Fuch","3 veces por semana"
"2018/11/20 1:00:15 a. m. GMT-3","Si","3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","300 gramos","Castaño","ocasionalmente"
"2018/11/20 5:31:27 a. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","pan preparado","Supermercados","Todas las anteriores","Rápido de preparar","700 gramos","Ideal","todos los días"
"2018/11/20 9:08:02 a. m. GMT-3","Si","Más de 3 integrantes","3","3 o más veces por semana","granel","Panderias","Valor nutricional","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/20 9:42:29 a. m. GMT-3","Si","3 integrantes","2","3 o más veces por semana","indiferente","Supermercados","Todas las anteriores","Durabilidad","700 gramos","Marcas tradicionales de supermercados","3 veces por semana"
"2018/11/20 9:47:28 a. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","580 gramos","Fuch","ocasionalmente"
"2018/11/20 9:47:53 a. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","pan preparado","Almacenes de barrio","Todas las anteriores","Rápido de preparar","300 gramos","Castaño","ocasionalmente"
"2018/11/20 9:48:52 a. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","pan preparado","Supermercados","Valor nutricional","Durabilidad","580 gramos","Fuch","ocasionalmente"
"2018/11/20 9:49:53 a. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","pan preparado","Panderias","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/20 9:50:49 a. m. GMT-3","Si","3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Durabilidad","300 gramos","Ideal","todos los días"
"2018/11/20 9:57:03 a. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Precio","Durabilidad","700 gramos","Ideal","ocasionalmente"
"2018/11/20 10:08:52 a. m. GMT-3","Si","2 integrantes","3","todos los días","granel","Almacenes de barrio","Todas las anteriores","Rápido de preparar","580 gramos","Ideal","ocasionalmente"
"2018/11/20 10:12:06 a. m. GMT-3","Si","3 integrantes","3","todos los días","pan preparado","Panderias","Valor nutricional","Ocasiones especiales","300 gramos","Fuch","ocasionalmente"
"2018/11/20 11:09:27 a. m. GMT-3","Si","","4","todos los días","pan preparado","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/20 12:54:40 p. m. GMT-3","Si","3 integrantes","5","todos los días","pan preparado","Supermercados","Precio","Durabilidad","700 gramos","Ideal","ocasionalmente"
"2018/11/20 1:45:36 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","indiferente","Supermercados","Todas las anteriores","Durabilidad","700 gramos","Cena","3 veces por semana"
"2018/11/20 1:58:53 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","envasado","Supermercados","Todas las anteriores","Durabilidad","700 gramos","Castaño","todos los días"
"2018/11/20 2:01:37 p. m. GMT-3","Si","Más de 3 integrantes","2","ocasionalmente","indiferente","Almacenes de barrio","Todas las anteriores","Durabilidad","700 gramos","Fuch","ocasionalmente"
"2018/11/20 2:02:56 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Marca","Durabilidad","250 gramos","Ideal","ocasionalmente"
"2018/11/20 4:20:36 p. m. GMT-3","Si","2 integrantes","3","todos los días","indiferente","Panderias","Precio","Ocasiones especiales","580 gramos","Fuch","ocasionalmente"
"2018/11/20 4:21:30 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Panderias","Todas las anteriores","Sabor","580 gramos","Ideal","ocasionalmente"
"2018/11/20 4:22:52 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","pan preparado","Supermercados","Precio","Sabor","700 gramos","Cena","ocasionalmente"
"2018/11/20 4:23:07 p. m. GMT-3","Si","2 integrantes","5","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/20 4:35:09 p. m. GMT-3","Si","3 integrantes","3","todos los días","indiferente","Panderias","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/20 5:04:29 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Durabilidad","580 gramos","Castaño","ocasionalmente"
"2018/11/20 8:59:43 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","envasado","Supermercados","Marca","Durabilidad","300 gramos","Ideal","todos los días"
"2018/11/20 9:02:29 p. m. GMT-3","Si","2 integrantes","2","todos los días","pan preparado","Supermercados","Precio","Rápido de preparar","700 gramos","Marcas tradicionales de supermercados","3 veces por semana"
"2018/11/20 9:04:18 p. m. GMT-3","Si","3 integrantes","1","3 o más veces por semana","granel","otro","Valor nutricional","Rápido de preparar","250 gramos","Fuch","ocasionalmente"
"2018/11/20 9:10:11 p. m. GMT-3","Si","Más de 3 integrantes","3","3 o más veces por semana","pan preparado","Panderias","Precio","Rápido de preparar","580 gramos","Castaño","3 veces por semana"
"2018/11/20 10:22:08 p. m. GMT-3","Si","3 integrantes","2","3 o más veces por semana","indiferente","Panderias","Cantidad","Ocasiones especiales","250 gramos","Fuch","ocasionalmente"
"2018/11/21 12:23:56 a. m. GMT-3","Si","2 integrantes","5","todos los días","granel","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/21 12:33:31 a. m. GMT-3","Si","vivo solo","1","3 o más veces por semana","envasado","Supermercados","Precio","Durabilidad","300 gramos","Castaño","3 veces por semana"
"2018/11/21 1:26:58 a. m. GMT-3","Si","2 integrantes","4","3 o más veces por semana","granel","Panderias","Todas las anteriores","Ocasiones especiales","580 gramos","Fuch","ocasionalmente"
"2018/11/21 7:29:39 a. m. GMT-3","Si","vivo solo","3","3 o más veces por semana","indiferente","Supermercados","Marca","Sabor","250 gramos","Marcas tradicionales de supermercados","3 veces por semana"
"2018/11/21 7:30:29 a. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","envasado","Supermercados","Precio","Durabilidad","700 gramos","Castaño","todos los días"
"2018/11/21 7:31:31 a. m. GMT-3","Si","2 integrantes","1","ocasionalmente","envasado","Supermercados","Marca","Sabor","250 gramos","Fuch","ocasionalmente"
"2018/11/21 8:44:17 a. m. GMT-3","Si","Más de 3 integrantes","4","3 o más veces por semana","granel","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
